Omavalitsus,Vaatlusperiood,"Asustustihedus, elanikku km2 kohta"
..Valga linn,2015,741.86186
..Valga linn,2016,758.67868
..Helme vald,2013,6.13
..Helme vald,2014,6.01797
..Helme vald,2015,5.9555
..Helme vald,2016,6.3455
..Hummuli vald,2013,5.15
..Hummuli vald,2014,5.07068
..Hummuli vald,2015,4.99569
..Hummuli vald,2016,5.10028
..Karula vald,2013,3.99
..Karula vald,2014,4.00139
..Karula vald,2015,4.14945
..Karula vald,2016,4.1712
..Otepää vald,2013,17.16
..Otepää vald,2014,17.19268
..Otepää vald,2015,17.15614
..Otepää vald,2016,17.82361
..Palupera vald,2013,10.51
..Palupera vald,2014,10.25267
..Palupera vald,2015,10.18488
..Palupera vald,2016,8.46578
..Puka vald,2013,7.74
..Puka vald,2014,7.62952
..Puka vald,2015,7.6134
..Puka vald,2016,7.8325
..Põdrala vald,2013,5.8
..Põdrala vald,2014,5.86386
..Põdrala vald,2015,5.65132
..Põdrala vald,2016,5.91106
..Sangaste vald,2013,9
..Sangaste vald,2014,8.93449
..Sangaste vald,2015,8.78733
..Sangaste vald,2016,8.76659
..Taheva vald,2013,3.7
..Taheva vald,2014,3.59551
..Taheva vald,2015,3.58468
..Taheva vald,2016,3.59445
..Tõlliste vald,2013,8.48
..Tõlliste vald,2014,8.40128
..Tõlliste vald,2015,8.21296
..Tõlliste vald,2016,8.19232
..Õru vald,2013,4.37
..Õru vald,2014,4.36777
..Õru vald,2015,4.26305
..Õru vald,2016,4.46377
..Mõisaküla linn,2013,377.27
..Mõisaküla linn,2014,366.36364
..Mõisaküla linn,2015,357.01357
..Mõisaküla linn,2016,357.46606
..Viljandi linn,2013,1220.04
..Viljandi linn,2014,1203.96717
..Viljandi linn,2015,1197.06685
..Viljandi linn,2016,1218.28104
..Võhma linn,2013,686.01
..Võhma linn,2014,664.2487
..Võhma linn,2015,662.37113
..Võhma linn,2016,677.31959
..Abja vald,2013,7.26
..Abja vald,2014,7.20857
..Abja vald,2015,7.10249
..Abja vald,2016,7.44021
..Halliste vald,2013,5.24
..Halliste vald,2014,5.28286
..Halliste vald,2015,5.23354
..Halliste vald,2016,5.54868
..Keila linn,2013,875.37778
..Keila linn,2014,866.75556
..Keila linn,2015,869.69697
..Keila linn,2016,853.56506
..Loksa linn,2013,724.93
..Loksa linn,2014,709.44882
..Loksa linn,2015,697.64398
..Loksa linn,2016,689.5288
..Maardu linn,2013,780.18
..Maardu linn,2014,760.7645
..Maardu linn,2015,731.27133
..Maardu linn,2016,645.39249
..Paldiski linn,2013,69.3
..Paldiski linn,2014,69.1873
..Paldiski linn,2015,67.67896
..Paldiski linn,2016,62.85667
..Saue linn,2013,1290.4328
..Saue linn,2014,1288.38269
..Saue linn,2015,1282.68793
..Saue linn,2016,1316.40091
..Tallinn,2013,2565.61
..Tallinn,2014,2597.22626
..Tallinn,2015,2597.33852
..Tallinn,2016,2657.83692
..Aegviidu vald,2013,60.99
..Aegviidu vald,2014,59.89975
..Aegviidu vald,2015,59.58159
..Aegviidu vald,2016,59.33054
..Anija vald,2013,11.15
..Anija vald,2014,11.02046
..Anija vald,2015,10.91234
..Anija vald,2016,10.50732
..Harku vald,2013,90.35645
..Harku vald,2014,90.27472
..Harku vald,2015,91.21494
..Harku vald,2016,84.61829
..Jõelähtme vald,2013,31.24
..Jõelähtme vald,2014,30.98738
..Jõelähtme vald,2015,30.96826
..Jõelähtme vald,2016,28.83024
..Keila vald,2013,30.09839
..Keila vald,2014,29.57849
..Keila vald,2015,29.59002
..Keila vald,2016,26.07509
..Kernu vald,2013,13.7
..Kernu vald,2014,13.45736
..Kernu vald,2015,13.24598
..Kernu vald,2016,11.38639
..Kiili vald,2013,51.43
..Kiili vald,2014,51.2703
..Kiili vald,2015,52.09205
..Kiili vald,2016,49.2628
..Kose vald,2013,24.11
..Kose vald,2014,13.57255
..Kose vald,2015,13.52914
..Kose vald,2016,13.26077
..Kuusalu vald,2013,9.22
..Kuusalu vald,2014,9.1252
..Kuusalu vald,2015,9.07028
..Kuusalu vald,2016,9.15626
..Kõue vald,2013,5.44
..Nissi vald,2013,11.07
..Nissi vald,2014,10.93538
..Nissi vald,2015,10.82612
..Nissi vald,2016,10.69769
..Padise vald,2013,4.29
..Padise vald,2014,4.29137
..Padise vald,2015,4.30655
..Padise vald,2016,4.66021
..Raasiku vald,2013,29.59
..Raasiku vald,2014,29.72429
..Raasiku vald,2015,29.87544
..Raasiku vald,2016,29.09537
..Rae vald,2013,77.64
..Rae vald,2014,78.52755
